ID,Site,Soil C,Soil N,Soil CN,POMC,POMN,POMCN,24 hr resp,72 hr resp,POXC
S11652,DH20-OFNR,1.62,0.14,11.57142857,3781.446705,270.1033361,14,139.5681986,235.1167621,419.181105
S11653,DH20-OFNR,1.37,0.12,11.41666667,2816.618158,205.1646942,13.72857143,100.3515489,174.3636701,375.8512045
S11654,DH20-OFNR,1.32,0.12,11,2671.612854,171.9512445,15.53703704,120.0477386,218.4388738,375.2098665
S11655,DH20-OFNR,1.19,0.105,11.33333333,2591.003107,171.4863669,15.10909091,100.9033536,180.4695551,351.398667
S11656,JS20-OFNR,1.28,0.13,9.846153846,2628.534767,150.7908925,17.43165468,106.7701269,197.6497924,351.5191217
S11657,JS20-OFNR,1.5,0.145,10.34482759,2424.678706,136.1188773,17.81294964,99.39044496,182.7126843,353.7323331
S11658,JS20-OFNR,1.355,0.135,10.03703704,2507.804393,132.4193278,18.93835616,96.87187162,179.6350243,337.2447453
S11659,JS20-OFNR,1.405,0.14,10.03571429,2486.643088,135.4503725,18.35833333,113.8958394,206.8386345,328.2335246
S11660,RS19/20-CCS,1.22,0.11,11.09090909,2149.380903,129.1147539,16.64705882,61.6424931,129.6876225,298.5900049
S11661,RS19/20-CCS,1.24,0.11,11.27272727,2591.042089,152.7351126,16.96428571,74.26508883,151.744069,338.4205677
S11662,RS19/20-CCS,1.31,0.11,11.90909091,1950.713714,117.8099574,16.55813953,59.07549299,120.7310147,284.7348596
S11663,RS19/20-CCS,1.195,0.11,10.86363636,1948.070294,118.896309,16.38461538,88.16078754,159.8034714,269.7137623
S11664,RS19/20-CCS,1.13,0.105,10.76190476,1823.956375,108.9579675,16.74,38.78069658,102.0845894,268.8103883
S11665,RS19/20-CCS,1.235,0.115,10.73913043,1948.637203,120.8876783,16.11940299,54.57254646,115.6103601,311.1733421
S11666,RS19/20-CCS,1.4,0.13,10.76923077,2063.976958,115.6855412,17.84126984,81.86062972,164.1353767,343.3159742
S11667,RS19/20-CCS,1.455,0.13,11.19230769,2641.529568,148.5117823,17.78666667,100.0521555,188.1168067,366.731301
S11668,RS19/20-CCS,1.215,0.115,10.56521739,2183.15207,145.0208736,15.05405405,57.51764242,118.8748528,276.5374539
S11669,RS19/20-CCS,1.31,0.12,10.91666667,2427.391176,162.9260008,14.89873418,83.69199351,163.612698,329.0669697
S11670,RS19/20-CCS,1.49,0.14,10.64285714,2639.492163,157.0407237,16.80769231,85.86343929,181.7702161,350.5166665
S11671,RS19/20-CCS,1.465,0.135,10.85185185,2535.615969,151.3320007,16.75531915,83.60728887,168.4181393,339.0607332
S11672,RS19/20-CCS,1.485,0.14,10.60714286,2780.585729,175.6159408,15.83333333,81.24860124,166.2252722,360.0201881
S11673,RS19/20-CCS,1.425,0.135,10.55555556,2353.368371,159.2645793,14.77647059,74.11731234,146.3353823,326.7575267
S11674,RS19/20-CCS,1.43,0.14,10.21428571,2685.310834,239.716657,11.2020202,58.84318235,116.8891365,355.6497857
S11675,RS19/20-CCS,1.385,0.14,9.892857143,2358.981538,208.9134942,11.29166667,72.15209811,142.3016537,365.7140036
S11676,RS19/20-CCS,1.435,0.145,9.896551724,2801.353951,244.1647023,11.47321429,79.53097513,158.1635744,323.1902163
S11677,RS19/20-CCS,1.42,0.14,10.14285714,2301.006631,188.0132854,12.23853211,62.34127253,126.8338179,380.3308667
S11678,RS19/20-CCS,1.63,0.155,10.51612903,2780.033656,207.1973441,13.41732283,95.76306996,188.8409047,417.762459
S11679,RS19/20-CCS,1.465,0.15,9.766666667,2601.803413,215.5340106,12.07142857,82.96415377,161.7553974,381.5639421
S11773,"RS20(G2,3)-ESN",1.305,0.14,9.321428571,1759.512789,144.1098618,12.20952381,60.16254451,130.4782257,299.4848089
S11774,"RS20(G2,3)-ESN",1.325,0.135,9.814814815,1840.809899,119.8869679,15.35454545,66.21277843,133.9820508,348.6041876
S11775,"RS20(G2,3)-ESN",1.38,0.14,9.857142857,2498.328118,150.6401216,16.58474576,77.61421856,156.1970285,351.9226684
S11776,"RS20(G2,3)-ESN",1.265,0.13,9.730769231,2066.396966,124.3984795,16.61111111,81.55585493,156.1916653,308.9641807
S11780,RS20(N1-W)-PLN,1.325,0.125,10.6,2152.793833,128.1792598,16.79518072,60.71772812,129.32862,302.793157
S11781,RS20(N1-W)-PLN,1.385,0.12,11.54166667,2309.100064,133.0826124,17.35087719,59.20434596,119.4263268,304.8683137
S11782,RS20(N1-W)-PLN,1.35,0.12,11.25,2405.878747,133.026471,18.08571429,61.55100318,123.8416405,308.3344449
S11783,RS20(N1-W)-PLN,1.21,0.115,10.52173913,1896.614439,108.6602022,17.45454545,59.43548537,126.8666277,288.1513302
S11791,JH20-OFNR,1.79,0.19,9.421052632,2808.864084,169.7740945,16.54471545,83.69586745,191.1768925,329.2990825
S11792,JH20-OFNR,1.405,0.16,8.78125,2354.712496,159.5595737,14.75757576,72.67279591,145.0849834,302.3319487
S11793,JH20-OFNR,1.135,0.125,9.08,1462.616315,91.22958909,16.03225806,60.46828436,124.3792,219.9018664
S11794,JH20-OFNR,1.345,0.15,8.966666667,1758.264295,120.5458208,14.58585859,79.70385367,176.5319975,303.1564007
S12715,DN21-OFNR,1.48,0.16,9.25,3430.16031,260.2059593,13.18248175,114.6618156,154.4824122,355.6388284
S12716,DN21-OFNR,1.56,0.16,9.75,3121.316356,223.8918905,13.94117647,115.999915,224.0663578,369.6262883
S12717,DN21-OFNR,1.71,0.18,9.5,3299.47943,260.8791254,12.64754098,128.8385321,243.8350096,417.3506205
S12718,DN21-OFNR,1.63,0.17,9.588235294,4278.346559,343.6039624,12.45138889,136.0831521,258.6335947,373.3095606
S12719,JL21-OFNR,1.09,0.11,9.909090909,2375.818105,200.336206,11.85915493,76.08349324,149.1381192,331.561683
S12720,JL21-OFNR,0.97,0.1,9.7,2059.840612,174.774355,11.78571429,45.67283053,111.0397067,274.1396521
S12721,JL21-OFNR,1.03,0.11,9.363636364,2527.433192,216.3898281,11.68,73.71788513,140.6286455,335.0719039
